Genes,Gene_type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
ZNF385A,0,-0.043858666,0.15675469,-0.020842476,0.066492274,-0.0056038727,-0.3068525,-0.11982281,0.33969223,-0.081932396,-0.03184586,-0.1268995,-0.172859,0.11327713,0.04908309,-0.029559491,-0.1035998,0.029701274,-0.21031119,0.020390581,-0.3978983,0.077332586,0.109596275,0.022778394,-0.028774332,-0.22405112,-0.011528005,-0.16920595,-0.16066301,-0.040423818,0.056706943,0.04370956,0.18992878,0.042633064,0.012735062,-0.22903574,0.25326714,-0.0905197,-0.19856958,-0.07296901,-0.37275383,-0.01736154,-0.16083956,-0.018107992,-0.16459942,0.23615663,-0.15719065,-0.14186022,-0.0038310452,0.029400138,0.119689755,0.113516234,-0.15804242,-0.15240917,-0.017173082,-0.0978702,-0.005636637,-0.030030992,-0.11849927,-0.21087734,0.09514005,0.014338306,0.06621228,-0.19341004,-0.14104062,-0.32129118,0.06425717,0.054692466,0.035946902,-0.21983251,0.15994519,-0.1452533,-0.02411425,0.020347934,-0.103459165,0.14689963,0.10055027,-0.020172479,-0.06693403,-0.13420689,0.17103447,-0.048152577,-0.11907628,-0.20954871,0.42661342,-0.060920577,0.112916,-0.18157019,0.3042671,0.27947855,-0.09910048,0.19698173,0.0036637057,-0.082879014,0.09389878,0.27445018,0.21531263,0.025412425,-0.26284522,0.095508635,-0.019184373
UQCRC2,0,-0.07884674,0.20248798,-0.04601481,0.09152493,-0.009699931,-0.36310118,-0.114606276,0.39076608,-0.1093839,-0.020137865,-0.13436735,-0.18506584,0.16307989,0.046369642,-0.028266428,-0.12447481,0.020620447,-0.23172496,0.027208785,-0.4977617,0.084620826,0.14023812,0.038559888,-0.007057893,-0.25001913,-0.011712044,-0.22135141,-0.18942457,-0.034491435,0.073848866,0.049738586,0.23792145,0.049879797,0.026922941,-0.25839567,0.2868728,-0.16689005,-0.2351812,-0.07985934,-0.44690263,-0.030042296,-0.19943985,-0.03461978,-0.19871731,0.27181366,-0.1881999,-0.1759702,-0.006562829,0.043095384,0.1303452,0.16309029,-0.21304321,-0.22283156,-0.052035823,-0.13644248,0.005463564,-0.03863487,-0.13441087,-0.27774858,0.10887334,0.014577514,0.08549263,-0.25229347,-0.14947872,-0.4115287,0.04791701,0.06570446,0.032161433,-0.2745052,0.19639234,-0.1623217,-0.015511301,0.03231996,-0.11580153,0.15447734,0.12974514,-0.022418099,-0.08114768,-0.15475844,0.18790905,-0.0963241,-0.11948158,-0.24528165,0.4774497,-0.052277863,0.097929515,-0.22669567,0.35473368,0.3138702,-0.11454737,0.22633885,0.036035366,-0.0743178,0.13083737,0.3212105,0.28255507,0.012629732,-0.31185153,0.109519266,-0.02834044
FCF1,0,-0.04166593,0.19714521,-0.023872,0.07255415,0.006952925,-0.34304735,-0.13215,0.3938691,-0.09941178,-0.038006693,-0.1477145,-0.19185634,0.11777751,0.060939383,-0.011111844,-0.10530122,0.02477321,-0.21831395,0.024529148,-0.44656393,0.08773852,0.12345625,0.032624505,-0.024851143,-0.24709964,-0.015681641,-0.1905703,-0.17529953,-0.036379576,0.061841685,0.04238032,0.19521663,0.043915696,0.024457302,-0.25509903,0.28184155,-0.123781,-0.24543877,-0.07802517,-0.4137056,-0.027658688,-0.16504547,-0.019032758,-0.18814638,0.26491544,-0.1886832,-0.16657628,-0.017944856,0.042171728,0.13197209,0.1302369,-0.19025245,-0.17504348,-0.021523967,-0.109458305,-0.004230519,-0.02145042,-0.14415981,-0.2568368,0.09781702,0.0108699,0.07820233,-0.22601211,-0.15093255,-0.38852537,0.07087871,0.06910929,0.029035972,-0.2597856,0.17673197,-0.16498928,-0.0066734687,0.037072837,-0.14014287,0.15291916,0.12919092,-0.021375049,-0.08072516,-0.16115484,0.18203224,-0.069534466,-0.12275229,-0.24197502,0.4998166,-0.07018123,0.11185253,-0.20016776,0.33921915,0.3066456,-0.11896805,0.23461656,0.016265884,-0.09369106,0.12055186,0.33399788,0.26077375,0.016758554,-0.29257444,0.10653063,0.0029846143
FXN,0,-0.05587045,0.19861308,-0.028878033,0.08676547,-0.00970538,-0.3559287,-0.12350444,0.40752265,-0.090740874,-0.03499013,-0.14996605,-0.19203122,0.13742279,0.059903543,-0.029840024,-0.13121673,0.027295852,-0.22902189,0.038364355,-0.46887478,0.08026008,0.12496409,0.045506638,-0.016833974,-0.2588685,-0.010816014,-0.21508086,-0.2015081,-0.0462747,0.051087566,0.062988676,0.19587581,0.044988707,0.025225548,-0.27980733,0.2853646,-0.114186466,-0.24882299,-0.07883407,-0.42128283,-0.029400771,-0.18080515,-0.027197262,-0.19441774,0.2786637,-0.18915808,-0.16742289,-0.016042624,0.03807162,0.12595072,0.13446075,-0.20234688,-0.1784731,-0.045352526,-0.12156899,-0.0038417717,-0.029579097,-0.13578069,-0.24402547,0.105943285,0.016140653,0.07360865,-0.23255594,-0.13972063,-0.3774886,0.04550567,0.058641758,0.030102247,-0.2718499,0.19518611,-0.15236387,-0.018230474,0.034025453,-0.13004051,0.15239315,0.14005147,-0.027987076,-0.08082353,-0.15204248,0.20404695,-0.053285327,-0.14866656,-0.25034547,0.500268,-0.061670948,0.123688556,-0.20547746,0.36009863,0.32172945,-0.12603544,0.23857847,-2.8877617e-05,-0.08984136,0.10842725,0.31926805,0.2702756,0.009001227,-0.31020954,0.0948301,0.00025365053
WDR33,0,-0.043128025,0.17254212,-0.023409678,0.078200616,-0.01736495,-0.31987953,-0.10795667,0.35011038,-0.095622964,-0.027877435,-0.14002745,-0.1847473,0.120366484,0.04574827,-0.012895468,-0.12276204,0.032683056,-0.208116,0.036641426,-0.42273676,0.08319739,0.11900509,0.031469718,-0.02264318,-0.23563617,-0.030810934,-0.17532499,-0.17719619,-0.032631375,0.047875382,0.052890077,0.18065678,0.04354828,0.002074902,-0.23230048,0.257988,-0.09615986,-0.22926682,-0.08249818,-0.38411063,-0.038623568,-0.15881975,-0.016151758,-0.15888645,0.23507434,-0.16826744,-0.14795156,-0.018244106,0.023646781,0.113185,0.123972066,-0.1692799,-0.17206666,-0.029766668,-0.12204958,-0.009565208,-0.009808654,-0.1335548,-0.22292402,0.090539895,0.004113197,0.06501675,-0.20915379,-0.1528721,-0.34317127,0.045683738,0.04032168,0.023398347,-0.22303262,0.1713337,-0.14584106,-0.022188963,0.044205133,-0.11660278,0.14547911,0.11228034,-0.010721771,-0.063986085,-0.15059131,0.17482975,-0.05783748,-0.10399451,-0.2206988,0.4371149,-0.057512805,0.11132846,-0.18196338,0.31582624,0.28783563,-0.10209763,0.20487368,0.013075726,-0.081248246,0.106665775,0.28325015,0.22215486,0.03124366,-0.28010917,0.08006284,-0.0032759402
ARHGAP45,0,-0.050286464,0.16915052,-0.03066017,0.080611095,-0.004144166,-0.30994424,-0.10984387,0.36306897,-0.09775639,-0.024108725,-0.14971958,-0.17346263,0.13103685,0.04630608,-0.028459467,-0.10522757,0.028437266,-0.19965553,0.015964076,-0.41903058,0.09133187,0.117860794,0.043034848,-0.032926563,-0.22190668,-0.019832509,-0.19138783,-0.17259029,-0.031146666,0.037660062,0.048450846,0.19345397,0.03643383,0.0055991285,-0.24388553,0.27722085,-0.11265733,-0.21478105,-0.08637735,-0.38776514,-0.014009742,-0.15720269,-0.023420207,-0.16470192,0.23822613,-0.18225795,-0.1518229,-0.018447964,0.042775232,0.117761806,0.14182545,-0.17130147,-0.16211297,-0.017126648,-0.10435576,-0.004199313,-0.02817215,-0.11846765,-0.224867,0.086110026,0.01140433,0.07917798,-0.19642916,-0.14854848,-0.34552214,0.06715943,0.056414194,0.024146019,-0.24989049,0.17735942,-0.15855816,-0.03215334,0.029392172,-0.10424086,0.14250332,0.11039148,-0.004336205,-0.06429917,-0.13747558,0.15989703,-0.05998738,-0.12751235,-0.24081299,0.44154984,-0.06329209,0.098440364,-0.19303367,0.32048026,0.28618118,-0.10033524,0.21974461,0.013157704,-0.0747024,0.110158145,0.29132217,0.21651906,0.011084828,-0.27022234,0.08576335,-0.01872114
PSMD11,0,-0.037127733,0.16528629,-0.024391899,0.07597278,0.0054638633,-0.3123922,-0.11122639,0.3565946,-0.07188743,-0.032821365,-0.1271535,-0.17599888,0.11470202,0.072055794,-0.0238157,-0.11077975,0.015420733,-0.21589564,0.03276212,-0.4172523,0.0960474,0.09826763,0.031649865,-0.022084193,-0.2202568,-0.018191464,-0.18239242,-0.17257775,-0.021749586,0.0481097,0.04874298,0.17536232,0.048775833,0.020918788,-0.2394486,0.26745826,-0.09978707,-0.19489697,-0.07195954,-0.37208763,-0.017212695,-0.15191634,-0.01742558,-0.16665365,0.23377587,-0.1639138,-0.12935151,-0.01897313,0.033469647,0.11986662,0.12999001,-0.17500527,-0.1571222,-0.027062412,-0.096341014,-0.015230677,-0.018340925,-0.11296482,-0.22366506,0.09819094,0.007207358,0.079005904,-0.20350455,-0.13010672,-0.33335906,0.055188894,0.044817444,0.038522534,-0.2239727,0.16120197,-0.15156297,-0.019022819,0.021352923,-0.102263056,0.14448707,0.11167058,-0.0065460196,-0.057903357,-0.1282484,0.1553637,-0.05633837,-0.108955435,-0.22354694,0.429719,-0.05899466,0.092096455,-0.17656446,0.30198735,0.27603576,-0.09582592,0.20661324,0.008997933,-0.081059575,0.10548405,0.28251636,0.2186126,0.031761613,-0.2622417,0.08687869,-0.015864195
STAC3,0,-0.05994908,0.17911908,-0.023773614,0.07479815,0.0022783505,-0.32955799,-0.13634713,0.39365986,-0.08152745,-0.021562077,-0.15052807,-0.19769937,0.14256082,0.059941072,-0.032326024,-0.12570053,0.028666446,-0.23342654,0.027065473,-0.46160838,0.10347373,0.1288593,0.04314788,-0.036492597,-0.24317014,-0.02012501,-0.2055637,-0.17795661,-0.040710114,0.05652279,0.06022991,0.21137306,0.05092427,0.024204716,-0.2613345,0.2977816,-0.11034487,-0.21431965,-0.087304406,-0.40495738,-0.031528283,-0.17760585,-0.030128777,-0.1815267,0.25699413,-0.17433725,-0.15781777,-0.019468881,0.03850063,0.12988172,0.14549538,-0.17396101,-0.17930207,-0.019615106,-0.12144982,-0.00017981378,-0.027669484,-0.119263634,-0.23245293,0.107249394,0.0030872081,0.08137674,-0.22437258,-0.14623418,-0.36949462,0.065794386,0.051267907,0.031009518,-0.25270942,0.1776872,-0.15010339,-0.020271163,0.025549281,-0.11047337,0.14736098,0.115476385,-0.012690442,-0.060260966,-0.14252353,0.18206942,-0.064605094,-0.11884908,-0.24131306,0.47882393,-0.07120953,0.11545725,-0.18606655,0.34021503,0.31230792,-0.12275018,0.23630969,0.003999805,-0.09133856,0.10910667,0.29777902,0.24254815,0.025068367,-0.28883308,0.08533429,-0.018678272
AAMP,0,-0.054496903,0.1508493,-0.014047788,0.0640153,0.000653167,-0.31810644,-0.11702593,0.34871456,-0.08533983,-0.021816453,-0.13757731,-0.1650573,0.11206388,0.070631824,-0.023197027,-0.111018404,0.010666419,-0.19379403,0.029233806,-0.4021682,0.08398186,0.093026415,0.041908573,-0.030283822,-0.21171336,-0.016181761,-0.16828574,-0.15809555,-0.03898319,0.057735648,0.04304981,0.18595707,0.04932205,0.016519938,-0.22656114,0.26813158,-0.10434898,-0.2077688,-0.07448526,-0.36653557,-0.02014723,-0.14196998,-0.009751841,-0.1687353,0.22598091,-0.1640922,-0.14423138,-0.020038111,0.026021114,0.106147595,0.12582277,-0.16141774,-0.1617426,-0.031807624,-0.11493592,0.0001979186,-0.024599945,-0.12072597,-0.2136559,0.08444323,0.019486707,0.06513697,-0.1890788,-0.14291254,-0.3297194,0.059426233,0.042713173,0.034377143,-0.22224422,0.15561026,-0.13618642,-0.02601528,0.03072184,-0.10093161,0.14755088,0.114168786,-0.009631825,-0.07148511,-0.14023109,0.1527677,-0.06977269,-0.10610483,-0.22348367,0.4342246,-0.06592008,0.09426019,-0.16306424,0.29962584,0.28271425,-0.09303901,0.21219113,0.002279567,-0.0776651,0.093071625,0.27463204,0.22817579,0.018521002,-0.26480862,0.07716182,-0.011841776
HAUS3,0,-0.056984823,0.19580206,-0.014852934,0.07421401,-0.002511889,-0.34356284,-0.1226545,0.40292904,-0.1019823,-0.038233932,-0.1636058,-0.19562472,0.13737155,0.06404333,-0.028623264,-0.11666506,0.030642776,-0.21968694,0.03185503,-0.46918684,0.1012027,0.12201738,0.049802728,-0.03121191,-0.2397598,-0.0066076717,-0.19864805,-0.18427287,-0.03466617,0.054632936,0.058605615,0.21004999,0.04198368,0.02471246,-0.26953065,0.30629045,-0.12726375,-0.23220554,-0.09639779,-0.40979892,-0.019863557,-0.18063195,-0.020659497,-0.18235254,0.25589624,-0.19332384,-0.17276283,-0.022719031,0.044004124,0.13577017,0.15129784,-0.1922746,-0.18803585,-0.024296649,-0.12012295,-0.0052207494,-0.023783717,-0.1310326,-0.25986788,0.1099481,0.005531592,0.07747016,-0.21862563,-0.15232936,-0.37950486,0.06303401,0.06767181,0.03606931,-0.26533648,0.18785118,-0.15492922,-0.020382116,0.0410887,-0.1372571,0.15087369,0.12459616,-0.008078829,-0.08215613,-0.14810054,0.17886825,-0.06291802,-0.13264565,-0.2594905,0.48558512,-0.06584646,0.10542045,-0.20608395,0.33732656,0.3227022,-0.10292019,0.24582136,0.0053800666,-0.09223219,0.12048186,0.32126638,0.25861046,0.021391133,-0.29714602,0.09752053,-0.008860754
PCNX4,0,-0.030973367,0.23038922,-0.06443815,0.13463067,-0.03893037,-0.2786778,-0.19962285,0.43779585,-0.016516011,-0.1142342,-0.12326314,-0.11741729,0.17455141,0.08171013,-0.05354114,-0.10756627,-0.030928409,-0.23086499,-0.011144746,-0.46510762,0.008921573,0.12400018,-0.038873505,-0.0011243466,-0.3230722,0.019602515,-0.22411413,-0.2228696,-0.022653386,0.1311593,-0.06217851,0.19224153,0.029169181,-0.04087213,-0.28931642,0.25385666,-0.14216903,-0.24176748,-0.0888958,-0.41925362,-0.0077682235,-0.19418865,-0.08138275,-0.24627624,0.29966035,-0.13537018,-0.21452992,0.00187294,0.08517124,0.09032645,0.17632766,-0.1365805,-0.124219924,-0.04878847,-0.059842926,-0.006845042,-0.10564224,-0.08126663,-0.25108665,0.12575151,0.0058000446,0.05150122,-0.25171906,-0.08870964,-0.4038772,0.046134785,0.06708096,-0.013184743,-0.27470928,0.16440892,-0.09357315,-0.034728058,-0.012865117,-0.16662136,0.19696514,0.07296668,0.027604396,-0.013685373,-0.13577217,0.1256927,0.015362474,-0.20651956,-0.26331055,0.44125837,-0.13868909,0.10805924,-0.20563282,0.28975484,0.26717025,-0.12972842,0.25196585,0.019549182,-0.06169271,0.096919775,0.31111285,0.29699695,-0.025519807,-0.28184706,0.113424174,0.07123754
OSBPL6,0,-0.0647476,0.19618163,-0.031771928,0.07845667,0.0056662112,-0.37224612,-0.14744933,0.41925964,-0.10039401,-0.019980041,-0.15099134,-0.19799158,0.13082409,0.060113978,-0.028079206,-0.12275675,0.03396069,-0.24633192,0.023282962,-0.49701628,0.10820652,0.12829429,0.052134555,-0.03939354,-0.26455542,-0.019577188,-0.20784965,-0.21640268,-0.022960141,0.065975614,0.05973374,0.23963879,0.032560084,0.024035254,-0.28777352,0.32293713,-0.13533163,-0.26420188,-0.10757183,-0.45663297,-0.044846036,-0.18141517,-0.035138972,-0.19579455,0.27881816,-0.21559377,-0.15245228,-0.013527321,0.038042337,0.14981987,0.16676933,-0.21292284,-0.19360967,-0.023712402,-0.13630018,0.014077284,-0.03139808,-0.14161621,-0.2666575,0.113791704,0.03261085,0.08847646,-0.24679095,-0.16016795,-0.4243818,0.05069957,0.043377392,0.025531042,-0.27995744,0.18583262,-0.1720207,-0.010116036,0.046864245,-0.12530558,0.17127529,0.14691289,-0.017539764,-0.10183251,-0.18131214,0.20950343,-0.07095632,-0.15492551,-0.2579612,0.5239265,-0.06703346,0.12182244,-0.23689915,0.3852754,0.34483308,-0.109164014,0.2494546,0.0045085093,-0.09306106,0.11505264,0.34150285,0.29275846,0.021163173,-0.32078093,0.112409174,-0.006968242
NCMAP,0,-0.064864695,0.19492751,-0.02490385,0.07489687,-0.0010727871,-0.37165308,-0.13526545,0.4174185,-0.09219542,-0.03767815,-0.15068132,-0.21567027,0.14078775,0.059978157,-0.030127201,-0.11485791,0.034319952,-0.2309203,0.043017823,-0.49242336,0.10525318,0.11453611,0.053525,-0.00828197,-0.25588652,-0.008326181,-0.20415139,-0.20001428,-0.04288087,0.068011224,0.057889692,0.21105169,0.042576995,0.03309079,-0.26968706,0.29078987,-0.117709674,-0.2341458,-0.08760056,-0.43421125,-0.033896357,-0.17136112,-0.011958415,-0.18781024,0.29074293,-0.21148404,-0.1736974,-0.0040379455,0.040955935,0.13652843,0.14943726,-0.19607525,-0.18493807,-0.036848266,-0.11967452,-0.006918548,-0.023334349,-0.13253114,-0.27424487,0.099053204,0.008884127,0.10215008,-0.25212854,-0.14288798,-0.39562958,0.065444134,0.058238316,0.03735619,-0.2690289,0.20019281,-0.18104827,-0.017575094,0.0293868,-0.13586491,0.1785256,0.12999213,-0.0044325744,-0.07770765,-0.15700367,0.19487408,-0.067342475,-0.14295936,-0.26833528,0.5118575,-0.06248661,0.115481876,-0.22174218,0.3434166,0.33529338,-0.114261314,0.25236675,0.015484836,-0.10540382,0.12619631,0.33430818,0.25161725,0.02483737,-0.3171186,0.116623126,-0.008195569
CLSTN3,0,-0.077250235,0.2156897,-0.025393682,0.07065285,-0.011904519,-0.39488128,-0.13645586,0.4361422,-0.11149842,-0.041730195,-0.16111101,-0.23121274,0.15170713,0.07407801,-0.021232644,-0.1315783,0.026138606,-0.24568468,0.031276762,-0.51353335,0.09542361,0.13380152,0.059410516,-0.016953286,-0.27273303,-0.001071749,-0.23320858,-0.18410085,-0.042203546,0.06420349,0.042528324,0.22928274,0.053954445,0.021964291,-0.29034448,0.34395638,-0.11699204,-0.24698025,-0.09991137,-0.46972594,-0.026246771,-0.20404953,-0.013089499,-0.1899418,0.28674644,-0.18995552,-0.1930264,-0.013917031,0.042428933,0.16236994,0.15929025,-0.23080666,-0.20746203,-0.04715831,-0.13616645,0.0045648864,-0.03338607,-0.13987651,-0.27153203,0.09539077,0.01723825,0.09938916,-0.24278112,-0.15752909,-0.38428712,0.05724958,0.053842567,0.028320665,-0.29328102,0.18566994,-0.16996047,-0.034804683,0.028471615,-0.14878169,0.18482259,0.13859312,-0.028085228,-0.08590135,-0.16497828,0.19799834,-0.085834846,-0.14440233,-0.27617413,0.5422041,-0.076016754,0.12996745,-0.22774294,0.3686387,0.33345583,-0.11919191,0.25394145,-0.0019616417,-0.09744017,0.107128374,0.35284394,0.2610955,0.031468578,-0.3237611,0.11055743,-0.022422291
STXBP4,0,-0.04615481,0.18872032,-0.021914389,0.07123132,-0.014975965,-0.35298654,-0.13286261,0.3966011,-0.097261116,-0.013272615,-0.14911588,-0.18924111,0.12929937,0.058172744,-0.008285073,-0.10991579,0.018415427,-0.23435116,0.024972176,-0.45844457,0.09178206,0.11330474,0.05073123,-0.025943164,-0.2417525,-0.004912048,-0.20200759,-0.17678653,-0.03659255,0.0665832,0.059869017,0.2099818,0.05482496,0.031204712,-0.25811693,0.2899372,-0.11257854,-0.22059156,-0.089999616,-0.4162165,-0.0383639,-0.17166701,-0.013242413,-0.1760983,0.26460946,-0.17318904,-0.15553449,0.0066479216,0.03818562,0.12015167,0.14098285,-0.19120665,-0.1822897,-0.030156948,-0.13120171,-0.013711215,-0.0135654975,-0.12895608,-0.24860515,0.08748883,0.0134888,0.0958404,-0.22515449,-0.16222817,-0.38776,0.05200096,0.053828627,0.028836772,-0.2475505,0.18429704,-0.16289511,-0.03919164,0.04098537,-0.11709667,0.1566987,0.12207389,-0.018808566,-0.09007124,-0.16863328,0.19012989,-0.058193795,-0.13237458,-0.23636656,0.47382727,-0.06708225,0.11356732,-0.22395203,0.34980685,0.3074584,-0.12124619,0.2328005,0.020227885,-0.09282782,0.124532364,0.31723273,0.23945493,0.02431727,-0.2951666,0.10216164,-0.011672534
PCDHB13,0,-0.052063607,0.1833734,-0.024822708,0.07788111,-0.009043268,-0.3255503,-0.10513518,0.34908223,-0.07734507,-0.026519462,-0.14121422,-0.18265398,0.11664066,0.04759115,-0.010888632,-0.09704802,0.010600463,-0.2224922,0.034093276,-0.41983718,0.085347086,0.11936609,0.035618782,-0.024750166,-0.23246354,0.00094092573,-0.18238965,-0.17175667,-0.021138115,0.051732205,0.060587037,0.18937564,0.03539437,0.018733235,-0.2481866,0.26895538,-0.11928624,-0.22518167,-0.07806987,-0.3791887,-0.02580627,-0.15561418,-0.023039872,-0.17744216,0.22289073,-0.1574943,-0.13844192,-0.010414946,0.0143461665,0.11994121,0.11180941,-0.17401461,-0.1675145,-0.023711314,-0.11876861,-0.00017585195,-0.03302527,-0.13353512,-0.2319656,0.09225001,0.035093665,0.08684399,-0.20636097,-0.14779119,-0.3529595,0.041763544,0.038534936,-0.0025438736,-0.23648904,0.162921,-0.14104518,-0.026605628,0.016135868,-0.10809061,0.1324964,0.124330334,-0.011530699,-0.062224317,-0.1401265,0.175414,-0.052487873,-0.11192466,-0.22362322,0.45422226,-0.036452606,0.11177136,-0.20120461,0.3009603,0.29311037,-0.103213884,0.20839927,0.00054164615,-0.08517492,0.1042027,0.28748792,0.21969533,0.020558564,-0.27976078,0.09212017,-0.020104684
MPHOSPH9,0,-0.045680948,0.17311291,8.811015e-05,0.08271681,-0.020927832,-0.33035573,-0.10758448,0.3653364,-0.08190868,-0.025164386,-0.14219932,-0.18946476,0.12470865,0.056220897,-0.02379202,-0.113900654,0.031934235,-0.2188004,0.015616312,-0.4290122,0.07378879,0.11105173,0.045392394,-0.034084518,-0.22992903,0.01189328,-0.1973394,-0.18227755,-0.046450097,0.053317867,0.03710958,0.18719254,0.05718561,0.024426173,-0.24415132,0.2854779,-0.11286264,-0.21387279,-0.09574295,-0.38245985,-0.03757713,-0.15399697,-0.029635089,-0.15323268,0.25359392,-0.15683821,-0.14765117,-0.023378475,0.037205845,0.12384016,0.13737105,-0.18357228,-0.16702193,-0.040550113,-0.116823904,0.0042353743,-0.019137943,-0.13595906,-0.22182356,0.08957509,0.0021356018,0.07896139,-0.17557631,-0.14458656,-0.3204615,0.05352208,0.03477428,0.036139656,-0.2498881,0.15511379,-0.16126509,-0.03014815,0.023025684,-0.12093171,0.13305509,0.12386595,-0.017195316,-0.060678218,-0.13709633,0.1754266,-0.07626784,-0.12142564,-0.22201882,0.4476574,-0.066508256,0.10697381,-0.18062098,0.31933472,0.2923018,-0.088073015,0.21185693,0.0006034894,-0.06967254,0.09897709,0.27027833,0.22272821,0.021281239,-0.27254125,0.086810805,0.00224025
CSF2RA,0,-0.052166037,0.16522795,-0.025270773,0.06418185,-0.01629205,-0.31319416,-0.11201992,0.3776032,-0.08326053,-0.04583518,-0.14842597,-0.20067286,0.12201653,0.060955957,-0.005406862,-0.10858413,0.020117644,-0.21369298,0.04677277,-0.43744206,0.09429072,0.10259128,0.033215515,-0.03799174,-0.2363769,-0.006342164,-0.1845422,-0.18234661,-0.032881726,0.045646098,0.059223175,0.19684538,0.028635286,0.029215463,-0.2503596,0.28939793,-0.11538146,-0.22930796,-0.08539291,-0.3937836,-0.0139899,-0.17287356,-0.03525288,-0.17730983,0.24911375,-0.18512964,-0.16452658,-0.011204336,0.026264712,0.11408368,0.14077564,-0.18945448,-0.17707716,-0.033932775,-0.12086824,-0.0016994635,-0.022183593,-0.12555744,-0.2357637,0.09326159,0.0032566248,0.083770886,-0.22703671,-0.14204046,-0.36391887,0.06674255,0.046011463,0.035286218,-0.24697937,0.17054082,-0.16611236,-0.02789926,0.027509375,-0.11482837,0.15042302,0.13530008,-0.008118642,-0.086102456,-0.13830699,0.17278102,-0.0671542,-0.109359965,-0.24409005,0.46298936,-0.053518012,0.09503957,-0.19376853,0.3212378,0.3013769,-0.11860419,0.23482879,0.010431239,-0.07885991,0.113274045,0.3101992,0.22833253,0.017162524,-0.27219635,0.09922597,-0.014891675
EPHB6,0,-0.048299614,0.21073845,-0.027095336,0.079695165,-0.014445992,-0.3306359,-0.13468453,0.40092102,-0.085788734,-0.034578383,-0.16221605,-0.19243026,0.13122451,0.074489735,-0.021995664,-0.114664756,0.020683704,-0.22826596,0.040466763,-0.44025466,0.080168344,0.12052083,0.031620026,-0.033344474,-0.25468,-0.019482052,-0.2158967,-0.19510257,-0.031389926,0.06287736,0.058665365,0.20947875,0.04469783,0.012776272,-0.2707582,0.29451975,-0.12120449,-0.22786471,-0.09079487,-0.41591838,-0.019886719,-0.18219577,-0.020286392,-0.18511425,0.26821834,-0.18227522,-0.1598276,-0.0074605034,0.023209326,0.13375577,0.14554466,-0.18786143,-0.19240141,-0.027563062,-0.12259415,0.000601706,-0.032209985,-0.13080774,-0.25641185,0.09838544,0.013315333,0.07263701,-0.21296917,-0.15175843,-0.38974082,0.047117736,0.063268125,0.017085422,-0.26507503,0.17630182,-0.15502225,-0.029427322,0.017075907,-0.12197736,0.16759856,0.12882186,-0.014507639,-0.08519232,-0.16415557,0.19415522,-0.058520246,-0.12621601,-0.23932435,0.47440818,-0.059815593,0.10876261,-0.21760558,0.33450666,0.31293598,-0.11358066,0.22503684,0.016038898,-0.087311566,0.11467717,0.3295128,0.25129643,0.009762269,-0.29180133,0.108781286,-0.010393085
INHA,0,0.017393138,0.14037536,-0.046087064,0.14247409,0.017558679,-0.29087204,-0.13095737,0.39604795,-0.041306823,-0.045659803,-0.13778365,-0.17363727,0.13540202,-0.014997724,-0.06485693,-0.21543273,0.04075556,-0.24202855,0.0010306796,-0.4776385,0.066125736,0.22387017,0.0035085848,0.097701035,-0.21959075,-0.02416118,-0.16362992,-0.216457,-0.09325327,0.065946825,0.08259229,0.15770322,0.014002812,0.07024272,-0.31332013,0.19728942,-0.123366214,-0.3058449,-0.09575864,-0.4568008,-0.047055636,-0.08684614,-0.018965974,-0.19820465,0.30371428,-0.21168786,-0.09565606,0.031073585,-0.041503847,0.114308126,0.12937573,-0.20007351,-0.23144072,-0.06232853,-0.12698936,-0.016992806,-0.017580856,-0.14015353,-0.23444098,0.16195488,0.006483386,0.18507503,-0.22315669,-0.1704867,-0.46122208,-0.04250221,0.03096437,-0.0008188942,-0.27071583,0.25224054,-0.06499314,0.0074543343,0.076326765,-0.1045761,0.15386428,0.13611507,-0.010753175,-0.045491353,-0.19625853,0.21061072,0.0102447085,-0.19983347,-0.29380116,0.47334942,-0.0996031,0.15074554,-0.21812055,0.40700465,0.32176507,-0.092820995,0.18125238,0.03303359,-0.066471584,0.15843546,0.374231,0.33058438,-0.041029274,-0.33754823,0.07459163,0.009315494
